id,Genero,Tipo_Cliente,Edad,Tipo_Viaje,Clase,Distancia_Vuelo,Wifi_a_bordo,Comodidad_Horario,Facilidad_Reserva,Ubicacion_Puerta,Comida_Bebida,Embarque_Online,Comodidad_Asiento,Entretenimiento,Servicio_Abordo,Espacio_Piernas,Manejo_Equipaje,Servicio_Checkin,Servicio_Vuelo,Limpieza,TypeOfTravel_bin,Class_Eco,Class_Eco Plus,Service_Mean,Service_Min,Service_Max,Service_Var,Age_Bin,Distance_Bin,target
0,Male,Loyal Customer,79,Business travel,Eco,1647,4,5,3,3,1,1,2,2,1,2,3,2,1,2,1,True,False,2.2857142857142856,1,5,1.4505494505494503,4.0,1.0,1
1,Female,Loyal Customer,41,Business travel,Eco,961,3,1,2,2,5,5,5,5,1,1,3,4,2,1,1,True,False,2.857142857142857,1,5,2.7472527472527473,2.0,0.0,1
2,Male,Loyal Customer,57,Business travel,Eco,254,4,2,1,1,4,1,5,3,5,1,5,3,1,4,1,True,False,2.857142857142857,1,5,2.7472527472527473,3.0,0.0,0
3,Male,disloyal Customer,43,Business travel,Eco Plus,3594,5,5,2,2,1,5,1,4,4,1,5,3,5,3,1,False,True,3.2857142857142856,1,5,2.6813186813186816,2.0,3.0,0
4,Male,Loyal Customer,63,Business travel,Business,1004,1,5,3,3,4,3,1,4,1,5,4,2,3,3,1,False,False,3.0,1,5,1.8461538461538463,3.0,0.0,1
5,Female,Loyal Customer,14,Business travel,Business,1369,4,3,1,2,3,2,5,1,5,3,1,4,1,5,1,False,False,2.857142857142857,1,5,2.4395604395604398,0.0,1.0,1
6,Male,disloyal Customer,85,Business travel,Eco,504,3,4,4,5,3,3,1,5,2,5,1,2,3,2,1,True,False,3.0714285714285716,1,5,1.9175824175824177,4.0,0.0,1
7,Male,disloyal Customer,26,Business travel,Business,943,4,3,3,3,3,2,2,1,5,5,2,1,4,2,1,False,False,2.857142857142857,1,5,1.6703296703296704,1.0,0.0,0
8,Male,disloyal Customer,59,Business travel,Eco,1882,2,2,1,2,3,4,3,2,4,5,5,3,2,3,1,True,False,2.9285714285714284,1,5,1.4560439560439558,3.0,1.0,0
9,Female,Loyal Customer,18,Personal Travel,Eco,1664,5,5,5,1,2,1,3,2,5,3,5,2,5,1,0,True,False,3.2142857142857144,1,5,2.9505494505494503,0.0,1.0,1
